Column 1,Satz,noun,polarity_noun,adjective,polarity_adj,valence_rating_sent
376,Die Kotze ist toxisch.,Kotze,negativ,toxisch,negativ,1
377,Die Biene ist lautlos.,Biene,positiv,lautlos,neutral,5
378,Die Brautjungfer ist ledig.,Brautjungfer,positiv,ledig,neutral,5
379,Der Garten ist öffentlich.,Garten,positiv,öffentlich,neutral,6
380,Der Gewinn ist belanglos.,Gewinn,positiv,belanglos,neutral,4
381,Der Künstler ist impulsiv.,Künstler,positiv,impulsiv,neutral,5
382,Der Familienmensch ist ernst.,Familienmensch,positiv,ernst,neutral,4
383,Der Palast ist mystisch.,Palast,positiv,mystisch,neutral,7
384,Die Studentin ist spitzfindig.,Studentin,positiv,spitzfindig,neutral,4
385,Das Fohlen ist winzig.,Fohlen,positiv,winzig,neutral,6
386,Der Genießer ist listig.,Genießer,positiv,listig,neutral,4
387,Die Freundin ist unbekleidet.,Freundin,positiv,unbekleidet,neutral,7
388,Der Geliebte ist frivol.,Geliebte,positiv,frivol,neutral,5
389,Das Geschenk ist brisant.,Geschenk,positiv,brisant,neutral,4
390,Der Gentleman ist berechenbar.,Gentleman,positiv,berechenbar,neutral,4
391,Der Freund ist dünn.,Freund,positiv,dünn,neutral,5
392,Die Gitarre ist selten.,Gitarre,positiv,selten,neutral,5
393,Der Gewinner ist nachgiebig.,Gewinner,positiv,nachgiebig,neutral,5
394,Das Genie ist redselig.,Genie,positiv,redselig,neutral,4
395,Die Wippe ist riskant.,Wippe,positiv,riskant,neutral,3
396,Der Park ist dunkel.,Park,positiv,dunkel,neutral,2
397,Der Kumpel ist beschäftigt.,Kumpel,positiv,beschäftigt,neutral,4
398,Das Frühstück ist real.,Frühstück,positiv,real,neutral,4
399,Das Enkelkind ist verrückt.,Enkelkind,positiv,verrückt,neutral,3
400,Der Großvater ist adlig.,Großvater,positiv,adlig,neutral,5
401,Der Opa ist zierlich.,Opa,positiv,zierlich,neutral,4
402,Die Familie ist merkwürdig.,Familie,positiv,merkwürdig,neutral,5
403,Der Partner ist forsch.,Partner,positiv,forsch,neutral,4
404,Der Gesang ist melancholisch.,Gesang,positiv,melancholisch,neutral,5
405,Die Linde ist hoch.,Linde,positiv,hoch,neutral,5
406,Der Filmstar ist bürgerlich.,Filmstar,positiv,bürgerlich,neutral,5
407,Die Fee ist hartnäckig.,Fee,positiv,hartnäckig,neutral,4
408,Der Kuss ist heftig.,Kuss,positiv,heftig,neutral,8
409,Der Athlet ist aufgeregt.,Athlet,positiv,aufgeregt,neutral,7
410,Das Hobby ist seltsam.,Hobby,positiv,seltsam,neutral,4
411,Der Denker ist listig.,Denker,positiv,listig,neutral,2
412,Die Hochzeit ist provokativ.,Hochzeit,positiv,provokativ,neutral,3
413,Der Tänzer ist genügsam.,Tänzer,positiv,genügsam,neutral,6
414,Der Held ist stolz.,Held,positiv,stolz,neutral,7
415,Der Dichter ist weltlich.,Dichter,positiv,weltlich,neutral,7
416,Der Bäcker ist erregbar.,Bäcker,positiv,erregbar,neutral,3
417,Die Kellnerin ist sittsam.,Kellnerin,positiv,sittsam,neutral,6
418,Die Ballerina ist förmlich.,Ballerina,positiv,förmlich,neutral,4
419,Der Abiturient ist listig.,Abiturient,positiv,listig,neutral,4
420,Der Traum ist frivol.,Traum,positiv,frivol,neutral,6
421,Die Braut ist häuslich.,Braut,positiv,häuslich,neutral,5
422,Der Papagei ist sorglos.,Papagei,positiv,sorglos,neutral,5
423,Der Mentor ist monogam.,Mentor,positiv,monogam,neutral,6
424,Der Brief ist reuevoll.,Brief,positiv,reuevoll,neutral,7
425,Der Kinderarzt ist russisch.,Kinderarzt,positiv,russisch,neutral,3
426,Die Ehefrau ist akribisch.,Ehefrau,positiv,akribisch,neutral,5
427,Der Flamingo ist klein.,Flamingo,positiv,klein,neutral,3
428,Die Villa ist eckig.,Villa,positiv,eckig,neutral,4
429,Die Disco ist bizarr.,Disco,positiv,bizarr,neutral,1
430,Die Pizzeria ist pompös.,Pizzeria,positiv,pompös,neutral,6
431,Die Kamera ist grau.,Kamera,positiv,grau,neutral,3
432,Der Sieger ist wählerisch.,Sieger,positiv,wählerisch,neutral,4
433,Der Forscher ist waghalsig.,Forscher,positiv,waghalsig,neutral,8
434,Der Retter ist fromm.,Retter,positiv,fromm,neutral,4
435,Der Gastgeber ist brav.,Gastgeber,positiv,brav,neutral,5
436,Die Blume ist dunkel.,Blume,positiv,dunkel,neutral,2
437,Die Orchidee ist auffallend.,Orchidee,positiv,auffallend,neutral,6
438,Der Geburtstag ist kitschig.,Geburtstag,positiv,kitschig,neutral,6
439,Die Hochzeitsfeier ist schlicht.,Hochzeitsfeier,positiv,schlicht,neutral,5
440,Der Schatz ist unauffällig.,Schatz,positiv,unauffällig,neutral,3
441,Die Seide ist billig.,Seide,positiv,billig,neutral,3
442,Der Champion ist anwesend.,Champion,positiv,anwesend,neutral,7
443,Der Hausmann ist bedächtig.,Hausmann,positiv,bedächtig,neutral,5
444,Der Pullover ist solide.,Pullover,positiv,solide,neutral,4
445,Der Schauspieler ist bärtig.,Schauspieler,positiv,bärtig,neutral,7
446,Der Urlauber ist ehrfürchtig.,Urlauber,positiv,ehrfürchtig,neutral,6
447,Der Profi ist anonym.,Profi,positiv,anonym,neutral,6
448,Das Hotel ist modern.,Hotel,positiv,modern,neutral,5
449,Das Schulmädchen ist albern.,Schulmädchen,positiv,albern,neutral,6
450,Der Heiler ist frech.,Heiler,positiv,frech,neutral,3
451,Der Zauberer ist asiatisch.,Zauberer,positiv,asiatisch,neutral,5
452,Die Heldin ist kindisch.,Heldin,positiv,kindisch,neutral,5
453,Der Leopard ist animalisch.,Leopard,positiv,animalisch,neutral,5
454,Der Verehrer ist unbekannt.,Verehrer,positiv,unbekannt,neutral,5
455,Der Schriftsteller ist berauscht.,Schriftsteller,positiv,berauscht,neutral,7
456,Der Kumpan ist gehorsam.,Kumpan,positiv,gehorsam,neutral,4
457,Der Pfau ist leise.,Pfau,positiv,leise,neutral,5
458,Der Spielkamerad ist manierlich.,Spielkamerad,positiv,manierlich,neutral,6
459,Das Kindermädchen ist sparsam.,Kindermädchen,positiv,sparsam,neutral,7
460,Der Bruder ist türkisch.,Bruder,positiv,türkisch,neutral,6
461,Der Bräutigam ist ironisch.,Bräutigam,positiv,ironisch,neutral,3
462,Die Laube ist antik,Laube,positiv,antik,neutral,5
463,Die Ananas ist rau.,Ananas,positiv,rau,neutral,4
464,Der Schwan ist schweigsam.,Schwan,positiv,schweigsam,neutral,6
465,Der Helfer ist selbstlos.,Helfer,positiv,selbstlos,neutral,5
466,Der Enkel ist stoisch.,Enkel,positiv,stoisch,neutral,4
467,Der Sponsor ist unbehaart.,Sponsor,positiv,unbehaart,neutral,6
468,Die Birne ist weiß.,Birne,positiv,weiß,neutral,4
469,Die Wespe ist lautlos.,Wespe,negativ,lautlos,neutral,3
470,Die Hure ist ledig.,Hure,negativ,ledig,neutral,5
471,Die Anstalt ist öffentlich.,Anstalt,negativ,öffentlich,neutral,4
472,Die Rache ist belanglos.,Rache,negativ,belanglos,neutral,4
473,Der Häftling ist impulsiv.,Häftling,negativ,impulsiv,neutral,1
474,Der Verbrecher ist ernst.,Verbrecher,negativ,ernst,neutral,3
475,Der Friedhof ist mystisch.,Friedhof,negativ,mystisch,neutral,5
476,Der Kanzler ist spitzfindig.,Kanzler,negativ,spitzfindig,neutral,6
477,Der Verräter ist winzig.,Verräter,negativ,winzig,neutral,5
478,Der Teufel ist listig.,Teufel,negativ,listig,neutral,3
479,Der Täter ist unbekleidet.,Täter,negativ,unbekleidet,neutral,7
480,Die Ehebrecherin ist frivol.,Ehebrecherin,negativ,frivol,neutral,3
481,Der Verweis ist brisant.,Verweis,negativ,brisant,neutral,3
482,Der Henker ist berechenbar.,Henker,negativ,berechenbar,neutral,4
483,Der Faschist ist dünn.,Faschist,negativ,dünn,neutral,4
484,Die Droge ist selten.,Droge,negativ,selten,neutral,2
485,Der Faulenzer ist nachgiebig.,Faulenzer,negativ,nachgiebig,neutral,4
486,Das Flittchen ist redselig.,Flittchen,negativ,redselig,neutral,5
487,Der Krieg ist riskant.,Krieg,negativ,riskant,neutral,4
488,Der Führer ist beschäftigt.,Führer,negativ,beschäftigt,neutral,4
489,Der Schmerz ist real.,Schmerz,negativ,real,neutral,3
490,Die Bestie ist verrückt.,Bestie,negativ,verrückt,neutral,4
491,Der Einbrecher ist adlig.,Einbrecher,negativ,adlig,neutral,4
492,Der Angreifer ist zierlich.,Angreifer,negativ,zierlich,neutral,5
493,Die Behörde ist merkwürdig.,Behörde,negativ,merkwürdig,neutral,4
494,Der Sklave ist forsch.,Sklave,negativ,forsch,neutral,5
495,Der Tyrann ist melancholisch.,Tyrann,negativ,melancholisch,neutral,4
496,Das Unkraut ist hoch.,Unkraut,negativ,hoch,neutral,3
497,Der Dieb ist bürgerlich.,Dieb,negativ,bürgerlich,neutral,3
498,Der Gegner ist hartnäckig.,Gegner,negativ,hartnäckig,neutral,3
499,Die Prahlerei ist heftig.,Prahlerei,negativ,heftig,neutral,5
500,Der Alkoholiker ist aufgeregt.,Alkoholiker,negativ,aufgeregt,neutral,2
501,Das Altenheim ist seltsam.,Altenheim,negativ,seltsam,neutral,3
502,Der Räuber ist listig.,Räuber,negativ,listig,neutral,3
503,Die Schlägerei ist provokativ.,Schlägerei,negativ,provokativ,neutral,3
504,Der Idiot ist genügsam.,Idiot,negativ,genügsam,neutral,4
505,Der Funktionär ist stolz.,Funktionär,negativ,stolz,neutral,5
506,Der Beamte ist weltlich.,Beamte,negativ,weltlich,neutral,5
507,Der General ist erregbar.,General,negativ,erregbar,neutral,3
508,Der Bettler ist sittsam.,Bettler,negativ,sittsam,neutral,6
509,Der Soldat ist förmlich.,Soldat,negativ,förmlich,neutral,4
510,Der Diktator ist listig.,Diktator,negativ,listig,neutral,3
511,Der Säufer ist frivol.,Säufer,negativ,frivol,neutral,5
512,Die Witwe ist häuslich.,Witwe,negativ,häuslich,neutral,3
513,Die Armee ist sorglos.,Armee,negativ,sorglos,neutral,4
514,Der Sträfling ist monogam.,Sträfling,negativ,monogam,neutral,6
515,Der Spinner ist reuevoll.,Spinner,negativ,reuevoll,neutral,4
516,Der Zahnarzt ist russisch.,Zahnarzt,negativ,russisch,neutral,5
517,Der Patient ist akribisch.,Patient,negativ,akribisch,neutral,4
518,Der Angeklagte ist klein.,Angeklagte,negativ,klein,neutral,4
519,Der Sarg ist eckig.,Sarg,negativ,eckig,neutral,4
520,Die Angst ist bizarr.,Angst,negativ,bizarr,neutral,3
521,Das Mahnmal ist pompös.,Mahnmal,negativ,pompös,neutral,4
522,Der Revolver ist glatt.,Revolver,negativ,glatt,neutral,3
523,Der Mörder ist wählerisch.,Mörder,negativ,wählerisch,neutral,1
524,Der Offizier ist waghalsig.,Offizier,negativ,waghalsig,neutral,5
525,Der Feigling ist fromm.,Feigling,negativ,fromm,neutral,2
526,Die Geisel ist brav.,Geisel,negativ,brav,neutral,4
527,Das Grab ist dunkel.,Grab,negativ,dunkel,neutral,2
528,Die Kralle ist auffallend.,Kralle,negativ,auffallend,neutral,5
529,Der Abfall ist kontrolliert.,Abfall,negativ,kontrolliert,neutral,5
530,Das Begräbnis ist kitschig.,Begräbnis,negativ,kitschig,neutral,3
531,Die Beerdigung ist schlicht.,Beerdigung,negativ,schlicht,neutral,4
532,Der Schrott ist unauffällig.,Schrott,negativ,unauffällig,neutral,5
533,Die Waffe ist billig.,Waffe,negativ,billig,neutral,4
534,Die Mörderin ist anwesend.,Mörderin,negativ,anwesend,neutral,3
535,Der Straftäter ist bedächtig.,Straftäter,negativ,bedächtig,neutral,4
536,Die Pistole ist solide.,Pistole,negativ,solide,neutral,2
537,Der Gefangene ist bärtig.,Gefangener,negativ,bärtig,neutral,3
538,Der Flüchtling ist ehrfürchtig.,Flüchtling,negativ,ehrfürchtig,neutral,7
539,Der Fälscher ist anonym.,Fälscher,negativ,anonym,neutral,2
540,Das Pflegeheim ist modern.,Pflegeheim,negativ,modern,neutral,6
541,Die Rivalin ist albern.,Rivalin,negativ,albern,neutral,5
542,Der Besserwisser ist frech.,Besserwisser,negativ,frech,neutral,4
543,Der Lügner ist asiatisch.,Lügner,negativ,asiatisch,neutral,5
544,Der Schurke ist kindisch.,Schurke,negativ,kindisch,neutral,5
545,Der Werwolf ist animalisch.,Werwolf,negativ,animalisch,neutral,4
546,Der Vandale ist unbekannt.,Raufbold,negativ,unbekannt,neutral,2
547,Der Folterer ist berauscht.,Folterer,negativ,berauscht,neutral,1
548,Der Nazi ist gehorsam.,Nazi,negativ,gehorsam,neutral,3
549,Der Erzfeind ist leise.,Erzfeind,negativ,leise,neutral,2
550,Der Komplize ist manierlich.,Komplize,negativ,manierlich,neutral,5
551,Der Schlägertyp ist sparsam.,Schlägertyp,negativ,sparsam,neutral,3
552,Die Sünderin ist türkisch.,Sünderin,negativ,türkisch,neutral,4
553,Der Kinderschänder ist ironisch.,Kinderschänder,negativ,ironisch,neutral,1
554,Die Säge ist antik,Säge,negativ,antik,neutral,3
555,Das Maul ist rau.,Maul,negativ,rau,neutral,2
556,Der Angeber ist schweigsam.,Angeber,negativ,schweigsam,neutral,2
557,Das Luder ist selbstlos.,Luder,negativ,selbstlos,neutral,7
558,Der Rassist ist stoisch.,Rassist,negativ,stoisch,neutral,3
559,Der Prahler ist unbehaart.,Prahler,negativ,unbehaart,neutral,2
560,Die Kotze ist weiß.,Kotze,negativ,weiß,neutral,2
